user_id,user_name,screen_name,followers_count,description,verified,profile_image_default,protected,favourites_count,user_registration,bot,botoscore
44588485,b'Chetan Bhagat',chetan_bhagat,12601291,1,0,0,0,4591,04-06-2009,0,0.1
766707694027829248,b'Cake \xf0\x9f\x8e\x82\xf0\x9f\x8d\xb0\xf0\x9f\x92\x9c\xf0\x9f\xa6\x81',Opferziege,2311,1,0,0,0,35801,19-08-2016,0,0.5
558652897,b'\xe3\x83\x80\xe3\x82\xa4\xe3\x82\xa8\xe3\x83\x83\xe3\x83\x88\xe3\x81\xae\xe5\x90\x8d\xe8\xa8\x80',_diet_meigen_,126216,1,0,0,0,1625,20-04-2012,1,3.0
445406704,b'escort girl',escort_girltv,75,1,0,0,0,2421,24-12-2011,1,3.6
18374131,b'Ezgi Basaran',ezgibasaran,738869,1,0,0,0,934,25-12-2008,0,1.1
15228408,b'Amy \xf0\x9f\x8c\x88\xf0\x9f\x8c\xbc',CreativeAmy,266,1,0,0,0,43360,25-06-2008,0,0.0
87055865,b'Stephanie  Demner',stephaniedemner,52923,1,0,0,0,8846,02-11-2009,0,0.7
374889978,b'American Terrorist',CaptAwesome801,107,1,0,0,0,1595,17-09-2011,0,2.7
925916688,b'Yohan Raynaud',yoyoraynaud,302,0,0,0,0,28628,04-11-2012,1,0.8
866147862,b'Katya\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8c\xb8\xf0\x9f\x92\x95',poikilothron,19342,1,0,0,0,100859,07-10-2012,0,1.6
49831471,b'ringgoagus',ringgoagus,2081744,1,0,0,0,0,23-06-2009,0,1.1
971005488,b'lumi',whatevs1d,583,1,0,0,0,22628,25-11-2012,0,0.4
1649958450,b'Alex Gonzaga-Morada',Mscathygonzaga,5438512,1,0,0,0,30374,06-08-2013,0,0.8
